,RAh,RAm,RAs,DECsign,DECd,DECm,DECs,Catalog,Type,RA/deg,DEC/deg,Divergence,Original
1677,12.0,15.0,19.190160000002265,+,47.0,21.0,42.40007999999534,CRUMB,FRI,183.829959,47.3617778,['FRI'],FRI
1678,12.0,15.0,29.800080000000406,+,53.0,35.0,54.09995999999353,CRUMB,FRII,183.874167,53.5983611,['FRII'],FRII
1704,12.0,23.0,32.960040000000106,+,61.0,15.0,7.279919999996309,CRUMB,FRI,185.8873335,61.2520222,['FRI'],FRI
1708,12.0,24.0,30.200040000001,+,42.0,6.0,24.000119999993217,CRUMB,FRII,186.1258335,42.1066667,['FRII'],FRII
1718,12.0,26.0,40.83000000000055,+,43.0,5.0,9.200040000001763,CRUMB,FRI,186.670125,43.0858889,['FRI'],FRI
1734,12.0,31.0,28.93008000000009,+,49.0,15.0,37.00007999999002,CRUMB,FRI,187.870542,49.2602778,['FRI'],FRI
1747,12.0,36.0,49.96007999999691,+,36.0,55.0,18.00012000001061,CRUMB,FRII,189.208167,36.9216667,"['FRII', 'FRI', 'FRII', 'FRII', 'FRII']",FRI
1760,12.0,41.0,49.84008000000145,+,57.0,30.0,36.899999999997135,CRUMB,FRII,190.457667,57.51025,['FRII'],FRII
1762,12.0,42.0,6.9260400000021605,+,32.0,32.0,29.469839999994747,CRUMB,FRI,190.5288585,32.5415194,['FRI'],FRI
1776,12.0,46.0,19.34795999999693,+,26.0,26.0,51.47016000000036,CRUMB,FRI,191.5806165,26.4476306,['FRI'],FRI
1779,12.0,46.0,47.52011999999809,+,54.0,53.0,15.000000000010232,CRUMB,FRI,191.6980005,54.8875,['FRI'],FRI
1786,12.0,49.0,43.09212000000201,+,30.0,38.0,50.76996000000065,CRUMB,FRI,192.4295505,30.6474361,['FRI'],FRI
1790,12.0,50.0,45.66084000000146,+,34.0,40.0,35.29991999999709,CRUMB,FRI,192.6902535,34.6764722,['FRI'],FRI
1791,12.0,51.0,35.43012000000175,+,50.0,34.0,1.4001600000119652,CRUMB,FRII,192.8976255,50.5670556,['FRII'],FRII
1808,12.0,56.0,57.37991999999764,+,47.0,20.0,19.79987999999082,CRUMB,FRII,194.239083,47.3388333,['FRII'],FRII
1814,12.0,58.0,19.29791999999793,+,44.0,31.0,51.7598399999963,CRUMB,FRI,194.580408,44.5310444,['FRI'],FRI
1817,12.0,59.0,53.31983999999736,+,57.0,51.0,49.70015999999703,CRUMB,FRI,194.972166,57.8638056,['FRI'],FRI
1833,13.0,4.0,28.86995999999712,+,53.0,50.0,2.500080000004345,CRUMB,FRII,196.12029149999995,53.8340278,['FRII'],FRII
1855,13.0,11.0,8.559960000002462,+,27.0,27.0,56.49984000000103,CRUMB,FRII,197.7856665,27.4656944,['FRII'],FRII
1875,13.0,18.0,12.934080000001984,+,51.0,26.0,38.64012000000173,CRUMB,FRI,199.553892,51.4440667,['FRI'],FRI
1892,13.0,22.0,56.17092000000056,+,58.0,10.0,12.29988000000617,CRUMB,FRI,200.7340455,58.1700833,['FRI'],FRI
1942,13.0,36.0,31.57596000000084,+,40.0,35.0,41.48987999999463,CRUMB,FRI,204.1315665,40.5948583,['FRI'],FRI
1948,13.0,38.0,24.992879999998223,+,29.0,30.0,57.239999999994495,CRUMB,FRI,204.604137,29.5159,['FRI'],FRI
1954,13.0,41.0,17.75687999999974,+,54.0,6.0,11.049840000009112,CRUMB,FRI,205.323987,54.1030694,['FRI'],FRI
1957,13.0,41.0,50.902079999999614,+,26.0,22.0,31.950119999997924,CRUMB,FRI,205.462092,26.3755417,['FRI'],FRI
1966,13.0,43.0,37.28208000000109,+,29.0,28.0,34.16015999999445,CRUMB,FRI,205.905342,29.4761556,['FRI'],FRI
1969,13.0,44.0,4.3969200000012165,+,24.0,25.0,44.630039999997,CRUMB,FRI,206.0183205,24.4290639,['FRI'],FRI
2018,13.0,58.0,57.5371199999968,+,53.0,28.0,42.09996000000274,CRUMB,FRI,209.739738,53.4783611,['FRI'],FRI
2031,14.0,6.0,44.09999999999826,+,34.0,11.0,26.199959999993325,CRUMB,FRII,211.68375,34.1906111,['FRII'],FRII
2047,14.0,11.0,20.630040000002623,+,52.0,12.0,9.000000000002046,CRUMB,FRII,212.8359585,52.2025,['FRII'],FRII
2050,14.0,11.0,38.21999999999704,+,49.0,53.0,3.9998399999984713,CRUMB,FRI,212.90925,49.8844444,['FRI'],FRI
2073,14.0,14.0,27.09996000000018,+,28.0,28.0,30.500040000003708,CRUMB,FRI,213.6129165,28.4751389,['FRI'],FRI
2110,14.0,21.0,5.730120000000625,+,41.0,44.0,49.70004000001097,CRUMB,FRII,215.2738755,41.7471389,['FRII'],FRII
2130,14.0,25.0,21.219959999997684,+,63.0,9.0,21.30011999999568,CRUMB,FRI,216.3384165,63.1559167,['FRI'],FRI
2136,14.0,26.0,23.75987999999949,+,55.0,18.0,4.899960000004171,CRUMB,FRI,216.5989995,55.3013611,['FRI'],FRI
2148,14.0,29.0,27.28392000000128,+,54.0,43.0,43.2901199999958,CRUMB,FRII,217.363683,54.7286917,"['FRI', 'FRII']",FRI
2174,14.0,33.0,48.60611999999918,+,42.0,52.0,50.710080000012,CRUMB,FRI,218.4525255,42.8807528,['FRI'],FRI
2265,14.0,49.0,21.74016000000293,+,63.0,16.0,13.900080000012736,CRUMB,FRI,222.340584,63.2705278,['FRI'],FRI
2277,14.0,51.0,0.2048400000008143,+,31.0,21.0,10.649880000003408,CRUMB,FRI,222.7508535,31.3529583,['FRI'],FRI
2284,14.0,53.0,38.10012000000043,+,29.0,1.0,17.6998799999987,CRUMB,FRII,223.4087505,29.0215833,['FRII'],FRII
2331,15.0,1.0,15.470039999999727,+,51.0,48.0,22.17995999998948,CRUMB,FRI,225.3144585,51.8061611,['FRI'],FRI
2360,15.0,6.0,44.07803999999743,+,34.0,28.0,6.639960000002247,CRUMB,FRI,226.68365849999995,34.4685111,['FRI'],FRI
2393,15.0,11.0,31.52400000000113,+,32.0,28.0,16.690079999987688,CRUMB,FRI,227.88135,32.4713028,['FRI'],FRI
2426,15.0,17.0,23.57987999999864,+,29.0,55.0,30.39995999999548,CRUMB,FRII,229.3482495,29.9251111,['FRII'],FRII
2435,15.0,19.0,11.6551199999995,+,36.0,23.0,20.51988000000449,CRUMB,FRI,229.798563,36.3890333,['FRI'],FRI
2442,15.0,21.0,25.57800000000242,+,31.0,57.0,30.63995999999662,CRUMB,FRI,230.356575,31.9585111,['FRI'],FRI
2443,15.0,21.0,26.989919999997056,+,48.0,39.0,43.19999999999652,CRUMB,FRI,230.36245799999995,48.662,['FRI'],FRI
2458,15.0,23.0,49.81991999999991,+,36.0,10.0,55.89984000000072,CRUMB,FRI,230.957583,36.1821944,['FRI'],FRI
2459,15.0,24.0,5.640120000000195,+,54.0,28.0,18.40007999999329,CRUMB,FRII,231.0235005,54.4717778,['FRII'],FRII
2462,15.0,24.0,42.00588000000195,+,62.0,2.0,50.93016000000034,CRUMB,FRI,231.1750245,62.0474806,['FRI'],FRI
2512,15.0,35.0,22.994159999998946,+,34.0,23.0,2.979960000000119,CRUMB,FRI,233.845809,34.3841611,['FRI'],FRI
2524,15.0,39.0,28.658879999998845,+,30.0,44.0,22.13016000000096,CRUMB,FRI,234.86941199999995,30.7394806,['FRI'],FRI
2532,15.0,41.0,45.63995999999918,+,60.0,15.0,36.20016000000419,CRUMB,FRII,235.4401665,60.2600556,"['FRII', 'FRI', 'FRII', 'FRII', 'FRII']",FRI
2628,16.0,8.0,16.32012000000003,+,37.0,37.0,43.100039999994806,CRUMB,FRI,242.0680005,37.6286389,['FRI'],FRI
2634,16.0,10.0,7.740120000002548,+,32.0,58.0,35.10012000000529,CRUMB,FRII,242.5322505,32.9764167,['FRII'],FRII
2647,16.0,14.0,14.076959999997598,+,62.0,15.0,20.210040000000618,CRUMB,FRI,243.558654,62.2556139,['FRI'],FRI
2654,16.0,16.0,38.0549999999937,+,42.0,27.0,3.61007999999174,CRUMB,FRI,244.1585625,42.4510028,['FRI'],FRI
2658,16.0,17.0,38.88995999999764,+,35.0,0.0,47.99987999999757,CRUMB,FRI,244.4120415,35.0133333,['FRI'],FRI
2665,16.0,20.0,8.11896000000445,+,42.0,28.0,30.4298399999891,CRUMB,FRI,245.033829,42.4751194,['FRI'],FRI
2675,16.0,24.0,56.32308000000478,+,46.0,41.0,19.1799599999905,CRUMB,FRI,246.2346795,46.6886611,['FRI'],FRI
2684,16.0,28.0,38.34011999999774,+,39.0,33.0,4.700159999997027,CRUMB,FRI,247.1597505,39.5513056,['FRI'],FRI
2689,16.0,30.0,32.36616000000225,+,28.0,54.0,14.850000000001842,CRUMB,FRI,247.634859,28.904125,['FRI'],FRI
2694,16.0,34.0,23.89908000000446,+,34.0,15.0,41.99004000000741,CRUMB,FRI,248.5995795,34.2616639,['FRI'],FRI
2699,16.0,38.0,2.6430000000016207,+,37.0,52.0,56.84016000000042,CRUMB,FRI,249.5110125,37.8824556,['FRI'],FRI
2702,16.0,39.0,27.91908000000575,+,53.0,46.0,46.71984000000805,CRUMB,FRI,249.8663295,53.7796444,['FRI'],FRI
2718,16.0,53.0,4.980119999994486,+,40.0,7.0,2.4999599999875954,CRUMB,FRI,253.2707505,40.1173611,['FRI'],FRI
2724,16.0,56.0,19.9100400000043,+,43.0,51.0,42.54011999999477,CRUMB,FRI,254.0829585,43.8618167,['FRI'],FRI
2747,17.0,10.0,41.45303999999896,+,42.0,39.0,51.0800399999971,CRUMB,FRI,257.672721,42.6641889,['FRI'],FRI
2751,17.0,12.0,25.97688000000062,+,29.0,10.0,13.080000000003622,CRUMB,FRI,258.108237,29.1703,['FRI'],FRI
2756,17.0,17.0,25.20707999999587,+,37.0,35.0,13.329959999995822,CRUMB,FRI,259.35502949999994,37.5870361,['FRI'],FRI
2762,17.0,23.0,19.33692000000605,+,35.0,58.0,0.2899200000013024,CRUMB,FRI,260.8305705,35.9667472,['FRI'],FRI
2819,7.0,35.0,55.54,+,33.0,7.0,9.6,CoNFIG,COMPACT,113.98141666666665,33.11933333333334,['COMPACT'],COMPACT
2834,8.0,24.0,47.27,+,55.0,52.0,42.6,CoNFIG,COMPACT,126.19695833333331,55.8785,['COMPACT'],COMPACT
2835,8.0,24.0,55.43,+,39.0,16.0,41.8,CoNFIG,COMPACT,126.23095833333332,39.278277777777774,['COMPACT'],COMPACT
2837,8.0,31.0,10.0,+,37.0,42.0,9.9,CoNFIG,COMPACT,127.79166666666669,37.70275,['COMPACT'],COMPACT
2844,8.0,43.0,31.63,+,42.0,15.0,29.7,CoNFIG,COMPACT,130.88179166666663,42.25825,['COMPACT'],COMPACT
2853,9.0,1.0,5.4,+,29.0,1.0,45.7,CoNFIG,FRII,135.2725,29.02936111111111,['FRII'],FRII
2854,9.0,3.0,4.04,+,46.0,51.0,4.7,CoNFIG,COMPACT,135.76683333333332,46.85130555555556,['COMPACT'],COMPACT
2858,9.0,9.0,33.53,+,42.0,53.0,47.4,CoNFIG,COMPACT,137.38970833333332,42.8965,['COMPACT'],COMPACT
2863,9.0,27.0,3.04,+,39.0,2.0,20.7,CoNFIG,COMPACT,141.76266666666663,39.03908333333333,['COMPACT'],COMPACT
2877,9.0,57.0,38.18,+,55.0,22.0,57.4,CoNFIG,COMPACT,149.4090833333333,55.38261111111111,['COMPACT'],COMPACT
2878,10.0,1.0,46.73,+,28.0,46.0,56.5,CoNFIG,FRII,150.44470833333332,28.78236111111111,['FRII'],FRII
2887,10.0,23.0,38.71,+,59.0,4.0,49.5,CoNFIG,FRII,155.91129166666664,59.08041666666667,['FRII'],FRII
2891,10.0,35.0,7.04,+,56.0,28.0,47.3,CoNFIG,COMPACT,158.77933333333334,56.47980555555556,['COMPACT'],COMPACT
2912,11.0,26.0,23.65,+,33.0,45.0,27.1,CoNFIG,COMPACT,171.59854166666665,33.757527777777774,['COMPACT'],COMPACT
2913,11.0,31.0,38.9,+,45.0,14.0,51.5,CoNFIG,FRII,172.91208333333333,45.247638888888886,['FRII'],FRII
2921,11.0,44.0,34.45,+,37.0,10.0,16.9,CoNFIG,FRII,176.14354166666664,37.17136111111111,['FRII'],FRII
2924,11.0,45.0,43.41,+,49.0,46.0,8.4,CoNFIG,FRII,176.430875,49.769,['FRII'],FRII
2927,11.0,53.0,24.51,+,49.0,31.0,9.5,CoNFIG,FRI,178.35212499999997,49.51930555555556,"['COMPACT', 'COMPACT', 'FRI']",COMPACT
2928,11.0,54.0,13.01,+,29.0,16.0,8.5,CoNFIG,FRII,178.55420833333332,29.269027777777776,['FRII'],FRII
2931,11.0,56.0,18.74,+,31.0,28.0,5.0,CoNFIG,COMPACT,179.07808333333332,31.468055555555555,['COMPACT'],COMPACT
2932,11.0,59.0,13.79,+,53.0,53.0,7.4,CoNFIG,COMPACT,179.8074583333333,53.88538888888889,['COMPACT'],COMPACT
2933,11.0,59.0,31.8,+,29.0,14.0,44.3,CoNFIG,COMPACT,179.88249999999996,29.24563888888889,['COMPACT'],COMPACT
2940,12.0,14.0,4.08,+,33.0,9.0,45.5,CoNFIG,COMPACT,183.517,33.162638888888885,['COMPACT'],COMPACT
